,iter,score,optimization
964,16,-0.717145,max
965,16,-1.0242785,max
966,16,-2.805549,max
967,16,-0.7136533,max
968,16,-0.5196297,max
969,16,-3.172787,max
970,16,-2.2277627,max
971,16,-0.16711642,max
972,16,-1.6041204,max
973,16,-0.8831169,max
974,16,-1.4290463,max
975,16,-2.395952,max
976,16,-2.7195456,max
977,16,-2.080934,max
978,16,0.33069438,max
979,16,-0.55225384,max
980,16,-1.7895373,max
981,16,-2.6839242,max
982,16,0.69319624,max
983,16,-0.4873712,max
984,16,-2.8638422,max
985,16,-1.0617704,max
986,16,-0.7676234,max
987,16,-2.0603666,max
988,16,0.46470523,max
989,16,-1.1229904,max
990,16,-1.7069904,max
991,16,-1.2030443,max
992,16,-0.7812302,max
993,16,-0.76149416,max
994,16,-1.3302629,max
995,16,-2.040195,max
996,16,-0.4318499,max
997,16,0.9913579,max
998,16,-2.5371335,max
999,16,0.6401534,max
1000,16,-2.3079278,max
1001,16,-2.6660163,max
1002,16,0.60022914,max
1003,16,-0.37330562,max
1004,16,-1.358551,max
1005,16,1.1550235,max
1006,16,-1.4716377,max
1007,16,-1.2959105,max
1008,16,-1.1543849,max
1009,16,-1.936404,max
1010,16,0.09158546,max
1011,16,-1.1500161,max
1012,16,-1.9839686,max
1013,16,-0.7979773,max
1014,16,-1.1065462,max
1015,16,-0.8161181,max
1016,16,-0.2151107,max
1017,16,0.18624419,max
1018,16,-0.37309128,max
1019,16,-1.4645572,max
1020,16,-2.0134282,max
1021,16,-1.9358488,max
1022,16,-1.3317842,max
1023,16,-1.1233323,max
1024,17,-1.4616587,max
1025,17,-1.3765205,max
1026,17,-2.139615,max
1027,17,-1.3755167,max
1028,17,-0.68406504,max
1029,17,-1.0179169,max
1030,17,-2.8072083,max
1031,17,-0.6914036,max
1032,17,-0.4087656,max
1033,17,-3.209309,max
1034,17,-1.985627,max
1035,17,-0.06085357,max
1036,17,-1.4124029,max
1037,17,-0.9691354,max
1038,17,-1.377813,max
1039,17,-2.3578696,max
1040,17,-2.6939847,max
1041,17,-2.0744734,max
1042,17,0.3362953,max
1043,17,-0.56084365,max
1044,17,-1.790317,max
1045,17,-2.6291537,max
1046,17,0.69782007,max
1047,17,-0.49195564,max
1048,17,-2.8157985,max
1049,17,-1.0255241,max
1050,17,-0.78779864,max
1051,17,-2.0550137,max
1052,17,0.5073378,max
1053,17,-0.9194848,max
1054,17,-1.5846475,max
1055,17,-1.1769865,max
1056,17,-0.7522491,max
1057,17,-0.77460694,max
1058,17,-1.3150258,max
1059,17,-2.0218985,max
1060,17,-0.4084025,max
1061,17,1.0220408,max
1062,17,-2.5375862,max
1063,17,0.7476479,max
1064,17,-2.3108292,max
1065,17,-2.7015252,max
1066,17,0.81624424,max
1067,17,-0.32597286,max
1068,17,-1.3388958,max
1069,17,1.1468031,max
1070,17,-1.1913595,max
1071,17,-1.2943771,max
1072,17,-1.1250958,max
1073,17,-1.938728,max
1074,17,0.10923207,max
1075,17,-1.231605,max
1076,17,-1.9838367,max
1077,17,-0.8962017,max
1078,17,-1.0570893,max
1079,17,-0.8413798,max
1080,17,-0.19929306,max
1081,17,0.18264517,max
1082,17,-0.4259681,max
1083,17,-1.4382439,max
1084,17,-2.0479045,max
1085,17,-1.967156,max
