,iter,score onehot,optimization
472,8,-2.9503274,max
473,8,-2.4360838,max
474,8,-1.3501781,max
475,8,-1.9796923,max
476,8,-0.6340623,max
477,8,-1.9275862,max
478,8,-1.8610294,max
479,8,-2.1672606,max
480,8,-1.05481,max
481,8,-0.80444217,max
482,8,-1.4627789,max
483,8,-2.119945,max
484,8,-1.2436633,max
485,8,0.52700263,max
486,8,-2.94251,max
487,8,0.75002813,max
488,8,-2.5228837,max
489,8,-2.8125222,max
490,8,0.5737976,max
491,8,-0.62158036,max
492,8,-1.7016628,max
493,8,0.21212137,max
494,8,-1.7130377,max
495,8,-1.1294317,max
496,8,-1.4634781,max
497,8,-2.2084737,max
498,8,0.024393976,max
499,8,-1.324339,max
500,8,-1.8118606,max
501,8,-0.9788459,max
502,8,-2.0199757,max
503,8,-1.1158048,max
504,8,-0.5610173,max
505,8,0.18686879,max
506,8,-1.1021307,max
507,8,-2.3092368,max
508,8,-2.3289406,max
509,8,-1.9906616,max
510,8,-1.7976419,max
511,8,-1.3220066,max
512,9,-1.7937864,max
513,9,-2.0918684,max
514,9,-2.1360102,max
515,9,-2.136361,max
516,9,-1.3043134,max
517,9,-1.0773528,max
518,9,-2.7374005,max
519,9,-1.0228697,max
520,9,-1.0012379,max
521,9,-3.2897534,max
522,9,-2.4171119,max
523,9,-0.18073268,max
524,9,-1.7754823,max
525,9,-1.0679843,max
526,9,-1.6588882,max
527,9,-2.5771651,max
528,9,-2.7390215,max
529,9,-2.3905663,max
530,9,-0.017946392,max
531,9,-1.0951211,max
532,9,-1.7020912,max
533,9,-2.1931243,max
534,9,0.3430801,max
535,9,-0.36298567,max
536,9,-2.9105306,max
537,9,-2.118657,max
538,9,-1.2760816,max
539,9,-1.9796923,max
540,9,-0.6340623,max
541,9,-1.8829124,max
542,9,-1.8560159,max
543,9,-2.1672606,max
544,9,-0.8832449,max
545,9,-0.93999475,max
546,9,-1.4018328,max
547,9,-2.0677633,max
548,9,-0.8550751,max
549,9,0.7113955,max
550,9,-3.1081405,max
551,9,0.75002813,max
552,9,-2.5228837,max
553,9,-2.8125222,max
554,9,0.5494371,max
555,9,-0.53597033,max
556,9,-1.7016628,max
557,9,0.22430038,max
558,9,-1.7130377,max
559,9,-1.1761568,max
560,9,-1.4011157,max
561,9,-2.6148837,max
562,9,0.04190278,max
563,9,-1.324339,max
564,9,-1.8705677,max
565,9,-0.9788459,max
566,9,-2.0405495,max
567,9,-1.0247396,max
568,9,-0.30070072,max
569,9,0.18686879,max
570,9,-1.0630113,max
571,9,-2.1925168,max
572,9,-2.3251748,max
573,9,-1.8730295,max
574,9,-1.8011013,max
575,9,-1.3080629,max
576,10,-1.7937864,max
577,10,-1.9953065,max
578,10,-2.1360102,max
579,10,-2.136361,max
580,10,-0.9118529,max
581,10,-0.99162245,max
582,10,-2.7247617,max
583,10,-0.90774596,max
584,10,-1.0012379,max
585,10,-3.1419637,max
586,10,-2.3473523,max
587,10,-0.1581803,max
588,10,-1.7961109,max
589,10,-1.0679843,max
590,10,-1.626399,max
591,10,-2.5680678,max
592,10,-2.710663,max
593,10,-2.137169,max
594,10,-0.077799365,max
595,10,-1.0967834,max
596,10,-1.8144387,max
597,10,-2.104945,max
598,10,0.41228795,max
599,10,-0.36298567,max
600,10,-2.8086135,max
601,10,-2.1811233,max
602,10,-1.2965213,max
603,10,-1.9500527,max
604,10,-0.6553849,max
605,10,-1.9275862,max
606,10,-2.3902702,max
607,10,-2.152094,max
608,10,-0.7761623,max
609,10,-0.84713244,max
610,10,-1.4018328,max
611,10,-2.0677633,max
612,10,-0.8550751,max
613,10,0.7223289,max
614,10,-3.0364316,max
615,10,0.75002813,max
616,10,-2.5228837,max
617,10,-2.7252247,max
618,10,0.58608,max
619,10,-0.5036306,max
620,10,-1.7214602,max
621,10,0.13518503,max
622,10,-1.629765,max
623,10,-1.1686294,max
624,10,-1.3995901,max
625,10,-2.1722035,max
626,10,0.09865725,max
627,10,-1.324339,max
628,10,-1.8374498,max
629,10,-0.9788459,max
630,10,-2.0405495,max
631,10,-1.0188818,max
632,10,-0.28288218,max
633,10,0.07014406,max
634,10,-0.9757692,max
635,10,-2.1644635,max
636,10,-2.523566,max
637,10,-1.8730295,max
638,10,-1.8011013,max
639,10,-1.1821241,max
640,11,-1.6211345,max
641,11,-2.042632,max
642,11,-2.1685658,max
643,11,-2.241829,max
644,11,-0.890476,max
645,11,-1.0695717,max
646,11,-2.7247617,max
647,11,-0.90774596,max
648,11,-0.77146107,max
649,11,-3.213691,max
650,11,-2.3473523,max
651,11,-0.22997427,max
652,11,-1.8173406,max
653,11,-1.0545177,max
654,11,-1.6588882,max
655,11,-2.5680678,max
656,11,-2.6734986,max
657,11,-2.137169,max
658,11,-0.015416324,max
659,11,-1.1217053,max
660,11,-1.7911571,max
661,11,-2.5165548,max
662,11,0.37330294,max
663,11,-0.36298567,max
664,11,-2.8086135,max
665,11,-2.4619246,max
666,11,-1.3440493,max
667,11,-2.0041327,max
668,11,0.17423257,max
669,11,-1.8829124,max
670,11,-1.9573554,max
671,11,-2.1137598,max
672,11,-0.7761623,max
673,11,-0.7496973,max
674,11,-1.3860562,max
675,11,-2.0677633,max
676,11,-0.8550751,max
677,11,0.771271,max
678,11,-3.0536408,max
679,11,0.75002813,max
680,11,-2.5228837,max
681,11,-2.7252247,max
682,11,0.57717973,max
683,11,-0.43663812,max
684,11,-1.6491741,max
685,11,0.080112755,max
686,11,-1.629765,max
687,11,-1.1686294,max
688,11,-1.4011157,max
689,11,-2.1722035,max
690,11,0.20286089,max
691,11,-1.324339,max
692,11,-1.889407,max
693,11,-0.8585399,max
694,11,-1.5970466,max
695,11,-1.0188818,max
696,11,-0.28288218,max
697,11,0.18686879,max
698,11,-0.9757692,max
699,11,-2.1644635,max
700,11,-2.2657366,max
701,11,-1.8730295,max
702,11,-0.8203152,max
703,11,-1.153636,max
704,12,-1.6211345,max
705,12,-1.8950412,max
706,12,-2.1539228,max
707,12,-2.092461,max
708,12,-0.86401886,max
709,12,-1.03073,max
710,12,-2.7429585,max
711,12,-0.9344054,max
712,12,-0.63441825,max
713,12,-3.2206912,max
714,12,-2.3473523,max
715,12,-0.1581803,max
716,12,-1.7961109,max
717,12,-0.99728173,max
718,12,-1.6588882,max
719,12,-2.5669398,max
720,12,-2.7332232,max
721,12,-2.0786836,max
722,12,0.020925969,max
723,12,-1.0527575,max
724,12,-1.7911571,max
725,12,-2.5165548,max
726,12,0.6874609,max
727,12,-0.36298567,max
728,12,-2.7594132,max
729,12,-2.4203732,max
730,12,-1.3440493,max
731,12,-1.9778299,max
732,12,0.31736392,max
733,12,-1.7070773,max
734,12,-2.1495888,max
735,12,-1.9820803,max
736,12,-0.7673217,max
737,12,-0.8363922,max
738,12,-1.3860562,max
739,12,-2.0677633,max
740,12,-0.8550751,max
741,12,0.8819866,max
742,12,-3.0398703,max
743,12,0.8179562,max
744,12,-2.4674356,max
745,12,-2.9942977,max
746,12,0.40257215,max
747,12,-0.38052762,max
748,12,-1.6502898,max
749,12,0.1344207,max
750,12,-1.629765,max
751,12,-1.1103613,max
752,12,-1.4011157,max
753,12,-2.19313,max
754,12,0.20286089,max
755,12,-1.4561152,max
756,12,-1.8557338,max
757,12,-0.8640758,max
758,12,-1.2193439,max
759,12,-0.91058624,max
760,12,-0.28288218,max
761,12,0.1877003,max
762,12,-0.96350324,max
763,12,-1.9689602,max
764,12,-2.2199945,max
765,12,-1.8730295,max
766,12,-0.8494222,max
767,12,-0.98065895,max
768,13,-1.6211345,max
769,13,-1.9318777,max
770,13,-2.115839,max
771,13,-1.9983166,max
772,13,-0.86401886,max
773,13,-0.993826,max
774,13,-2.7782254,max
775,13,-0.9344054,max
776,13,-0.23357648,max
777,13,-3.1875825,max
778,13,-2.1605577,max
779,13,-0.1672108,max
780,13,-1.7000566,max
781,13,-0.92899287,max
782,13,-1.6588882,max
783,13,-2.5159326,max
784,13,-2.8034005,max
785,13,-2.0786836,max
786,13,0.19816431,max
787,13,-0.9575164,max
788,13,-1.7911571,max
789,13,-2.5165548,max
790,13,0.6986857,max
791,13,-0.36298567,max
792,13,-2.8639119,max
793,13,-2.4601047,max
794,13,-1.3050495,max
795,13,-1.9497102,max
796,13,0.31736392,max
797,13,-1.5171543,max
798,13,-1.8800797,max
799,13,-1.9288839,max
800,13,-0.7502147,max
801,13,-0.70965266,max
802,13,-1.4018328,max
803,13,-2.0364404,max
804,13,-0.8550751,max
805,13,0.8277534,max
806,13,-3.058222,max
807,13,0.8886901,max
808,13,-2.532505,max
809,13,-2.7654629,max
810,13,0.57717973,max
811,13,-0.42577004,max
812,13,-1.4035745,max
813,13,0.32686597,max
814,13,-1.3788602,max
815,13,-1.1103613,max
816,13,-1.2369335,max
817,13,-2.1481438,max
818,13,0.20286089,max
819,13,-1.1571629,max
820,13,-1.8350868,max
821,13,-0.8698619,max
822,13,-1.2193439,max
823,13,-0.8568625,max
824,13,-0.2528645,max
825,13,0.17399305,max
826,13,-0.96350324,max
827,13,-1.9689602,max
828,13,-2.198751,max
829,13,-1.8730295,max
830,13,-0.7901103,max
831,13,-1.153636,max
832,14,-1.5588461,max
833,14,-1.8935463,max
834,14,-2.115839,max
835,14,-1.8360524,max
836,14,-0.48590562,max
837,14,-0.993826,max
838,14,-2.7578197,max
839,14,-0.92418504,max
840,14,-0.09038027,max
841,14,-3.1727798,max
842,14,-2.1983516,max
843,14,-0.1672108,max
844,14,-1.7000566,max
845,14,-0.8727974,max
846,14,-1.7030091,max
847,14,-2.707999,max
848,14,-2.8853247,max
849,14,-2.1015139,max
850,14,0.20483941,max
851,14,-0.576393,max
852,14,-1.7867972,max
853,14,-2.6756086,max
854,14,0.76522017,max
855,14,-0.36298567,max
856,14,-2.8639119,max
857,14,-2.346954,max
858,14,-1.3440493,max
859,14,-1.9926217,max
860,14,0.31895941,max
861,14,-1.4857767,max
862,14,-1.9314089,max
863,14,-1.9395123,max
864,14,-0.71815336,max
865,14,-0.695161,max
866,14,-1.4018328,max
867,14,-2.0364404,max
868,14,-0.821542,max
869,14,0.8277534,max
870,14,-3.0840333,max
871,14,0.6766538,max
872,14,-2.5257845,max
873,14,-2.7654629,max
874,14,0.57717973,max
875,14,-0.39931595,max
876,14,-1.4035745,max
877,14,0.2873826,max
878,14,-1.3788602,max
879,14,-1.1103613,max
880,14,-1.4116285,max
881,14,-2.170083,max
882,14,0.19677833,max
883,14,-1.1571629,max
884,14,-1.8869388,max
885,14,-0.882406,max
886,14,-1.2712367,max
887,14,-0.82710105,max
888,14,-0.26226902,max
889,14,0.1877003,max
890,14,-0.96350324,max
891,14,-1.9228054,max
892,14,-2.213357,max
893,14,-1.9353794,max
894,14,-0.724734,max
895,14,-1.3022453,max
896,15,-1.7077986,max
897,15,-1.8935463,max
898,15,-2.1629035,max
899,15,-1.9013819,max
900,15,-0.48590562,max
901,15,-0.98639405,max
902,15,-2.7857592,max
903,15,-0.94343907,max
904,15,0.16882968,max
905,15,-3.1727798,max
906,15,-2.1983516,max
907,15,-0.1672108,max
908,15,-1.6277566,max
909,15,-0.8727974,max
910,15,-1.4455416,max
911,15,-2.4012735,max
912,15,-2.8186586,max
913,15,-2.0786836,max
914,15,0.26815033,max
915,15,-0.576393,max
916,15,-1.7867972,max
917,15,-2.6288552,max
918,15,0.7770289,max
919,15,-0.48585498,max
920,15,-2.8639119,max
921,15,-2.346954,max
922,15,-1.4766933,max
923,15,-2.023233,max
924,15,0.4066602,max
925,15,-1.4639132,max
926,15,-1.9621098,max
927,15,-1.5019993,max
928,15,-0.6461472,max
929,15,-0.66697055,max
930,15,-1.4134765,max
931,15,-2.0949326,max
932,15,-0.7806835,max
933,15,0.7794124,max
934,15,-2.9965148,max
935,15,0.66959786,max
936,15,-2.303097,max
937,15,-2.6574283,max
938,15,0.57717973,max
939,15,-0.35153875,max
940,15,-1.4461067,max
941,15,0.9531393,max
942,15,-1.3427756,max
943,15,-1.1284479,max
944,15,-1.2482836,max
945,15,-1.9375794,max
946,15,0.19677833,max
947,15,-1.1571629,max
948,15,-1.9833956,max
949,15,-0.8348704,max
950,15,-1.198931,max
951,15,-0.9931583,max
952,15,-0.39171976,max
953,15,0.1877003,max
954,15,-0.96350324,max
955,15,-1.9228054,max
956,15,-2.0170848,max
957,15,-1.9353794,max
958,15,-0.724734,max
959,15,-1.1206372,max
960,16,-1.7077986,max
961,16,-1.5498081,max
962,16,-2.1629035,max
963,16,-1.9013819,max
964,16,-0.48590562,max
965,16,-0.98639405,max
966,16,-2.8037016,max
967,16,-0.6962232,max
968,16,0.22534525,max
969,16,-3.1727798,max
970,16,-2.2271872,max
971,16,-0.1672108,max
972,16,-1.606249,max
973,16,-0.8727974,max
974,16,-1.438386,max
975,16,-2.3992598,max
976,16,-2.7443738,max
977,16,-2.0786836,max
978,16,0.3200763,max
979,16,-0.5080775,max
980,16,-1.7867972,max
981,16,-2.6925845,max
982,16,0.7998091,max
983,16,-0.48694962,max
984,16,-2.8639119,max
985,16,-2.363443,max
986,16,-1.2557337,max
987,16,-2.055142,max
